teaching,teaching.1,coursecontent,coursecontent.1,examination,Examination,labwork,labwork.1,library_facilities, library_facilities,extracurricular,extracurricular.1,cleaned_teaching,cleaned_coursecontent,cleaned_Examination,cleaned_labwork,cleaned_library_facilities,cleaned_extracurricular
0,teacher are punctual but they should also give us the some practical knowledge other than theortical,0.0,content of courses are average,1.0,examination pattern is good,-1,"not satisfactory, lab work must include latest technologies",0.0,library facilities are good but number of books are less,1,extracurricular activities are excellent and provides best platform to students.,teacher punctual they should also give us some practical knowledge other than theortical,content courses average,examination pattern good,not satisfactory lab work must include latest technologies,library facilities good number books less,extracurricular activities excellent provides best platform students
1,Good ,-1.0,Not good,1.0,Good,1,Good ,-1.0,Not good ,1,Good ,good,not good,good,good,not good,good
1,Excellent lectures are delivered by teachers and all teachers are very punctual.,1.0,All courses material provide very good knowledge in depth .,1.0,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",1,Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth. ,1.0,Library facilities are excellent in terms of good techniques that are used over there.,1,Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.,excellent lectures delivered teachers all teachers very punctual,all courses material provide very good knowledge depth,exam pattern up mark cgpa depends various marks distributions like ca mte etc which very nice as compare other institutions paper checking does not depend length ques material which best part it,lab work properly covered labs faculty evaluations help learn more practical knowledge depth,library facilities excellent terms good techniques that used over there,extra curricular activities also help students divert their mind their study some time university plays important role this task
1,Good,-1.0,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",-1.0,Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,1,Good,0.0,"Its the best thing i have seen in this university,albeit the behaviour of library staff is unprofessional at times. They are whimsically rude.",-1,Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.,good,content course perfectly line teaching philosophy that being perpetuated here ie crammingrote learning,again university tests students their ability memorize stuff questions should emphasize more concepts rather than testing brains cramming storage house,good,its best thing i have seen this universityalbeit behaviour library staff unprofessional times they whimsically rude,complete wastage time again this opinion strictly personal may not coincide others
1,teachers give us all the information required to improve the performance.,1.0,content of courses improves my knowledge,1.0,examination pattern is good,1,practical work provides detail knowledge of theoretical work,1.0,library has huge collection of books from different authors,1,extracurricular activities increases mental and physical abilities,teachers give us all information required improve performance,content courses improves my knowledge,examination pattern good,practical work provides detail knowledge theoretical work,library has huge collection books different authors,extracurricular activities increases mental physical abilities
1,Yes,1.0,Yes,1.0,Yes,1,Yes,1.0,Yes,1,Yes,yes,yes,yes,yes,yes,yes
1,good and punctual,1.0,Good,1.0,Good,1,Good,1.0,Hardworking,0,No views,good punctual,good,good,good,hardworking,no views
1,It is good,1.0,This semester university has provide best teachers ,1.0,I like the question pattern,1,Everything is going fine in lab . learning new things. That is good for us,0.0,I am satisfied with the facilities but few books are limited of  database distribution ,0,No idea about the extracurricular activities. ,it good,this semester university has provide best teachers,i like question pattern,everything going fine lab learning new things that good us,i am satisfied facilities few books limited database distribution,no idea about extracurricular activities
1,Good,-1.0,Needs some improvement,1.0,Good,1,Good,-1.0,Its required some libral in rules,1,Good it provides a great platform,good,needs some improvement,good,good,its required some libral rules,good it provides great platform
1,Good,-1.0,Needs some improvement,1.0,Good,1,Good,-1.0,Its required some libral in rules,1,Good it provides a great platform,good,needs some improvement,good,good,its required some libral rules,good it provides great platform
